単位		子供	下限	上限	通学/世帯	未就学児/世帯	通勤/世帯	非通勤/世帯	通学人数	未就学児人数	通勤人数	非通勤人数	夫就業妻就業	夫就業妻非就業	夫就業妻不詳	夫非就業妻就業	夫非就業妻非就業	夫非就業妻不詳	夫不詳妻就業	夫不詳妻非就業 	夫不詳妻不詳			
世帯数	　子供なし												428957	242112	4397	48918	320931	2770	1256	1540	133740			
世帯数	　　子供が1人												351097	252971	1361	27790	121548	585	561	732	97759			
世帯数	　　　　子供が0歳	1	0	0									23054	23396	88	276	395	3	4	21	9440			
世帯数	　　　　子供が1～2歳	1	1	2									41141	34227	125	413	539	6	17	50	17240			
世帯数	　　　　子供が3～5歳	1	3	5									33927	25419	78	446	421	8	9	31	13737			
世帯数	　　　　子供が6～8歳	1	6	8									23172	17427	67	431	305	8	10	23	8218			
世帯数	　　　　子供が9～11歳	1	9	11									21137	13976	49	453	294	8	13	16	6236			
世帯数	　　　　子供が12～14歳	1	12	14									22528	12873	44	583	368	3	17	15	5497			
世帯数	　　　　子供が15～17歳	1	15	17									24303	12615	65	768	521	9	12	7	5238			
世帯数	　　　　子供が18歳以上	1	18	20									161835	113038	845	24420	118705	540	479	569	32153			
世帯数	　　子供が2人												333636	198959	658	11056	26156	153	273	290	81361			
世帯数	　　　最年少の子供が0歳												13359	16075	32	97	190	1	7	8	5929			
世帯数	　　　　最年長の子供が0歳	2	0	0									255	241	0	2	2	0	1	0	132			
世帯数	　　　　最年長の子供が1～2歳	2	0	2									3840	5197	8	30	65	1	2	2	1898			
世帯数	　　　　最年長の子供が3～5歳	2	0	5									7695	8492	19	49	86	0	4	6	3082			
世帯数	　　　　最年長の子供が6～8歳	2	0	8									1203	1642	3	10	23	0	0	0	587			
世帯数	　　　　最年長の子供が9～11歳	2	0	11									224	342	1	3	8	0	0	0	142			
世帯数	　　　　最年長の子供が12歳以上	2	0	14									142	161	1	3	6	0	0	0	88			
世帯数	　　　最年少の子供が1～2歳												27285	28227	65	190	286	7	6	20	11726			
世帯数	　　　　最年長の子供が1～2歳	2	1	2									1104	1160	2	2	19	0	0	1	596			
世帯数	　　　　最年長の子供が3～5歳	2	1	5									17648	18500	46	118	165	6	2	13	7558			
世帯数	　　　　最年長の子供が6～8歳	2	1	8									6855	6941	12	52	76	1	2	4	2791			
世帯数	　　　　最年長の子供が9～11歳	2	1	11									1141	1160	3	9	17	0	1	1	544			
世帯数	　　　　最年長の子供が12歳以上	2	1	14									537	466	2	9	9	0	1	1	237			
世帯数	　　　最年少の子供が3～5歳												35878	31857	75	331	294	4	10	27	13183			
