単位		子供	上限	下限	通学/世帯	未就学児/世帯	通勤/世帯	非通勤/世帯	通学人数	未就学児人数	通勤人数	非通勤人数	夫就業妻就業	夫就業妻非就業	夫就業妻不詳	夫雇用妻就業	夫雇用妻非就業	夫雇用妻不詳	夫非就業妻就業	夫非就業妻非就業	夫非就業妻不詳	夫不詳妻就業	夫不詳妻非就業	夫不詳妻不詳
世帯人員(人)	　子供なし												885857	498427	9071	661445	389976	4555	100676	650770	5600	2608	3149	275990
世帯人員(人)	　　子供が1人												1082416	776869	4337	851795	649194	2540	85954	374870	1835	1782	2283	301292
世帯人員(人)	　　　　子供が0歳	1	0	0									69989	71473	287	59983	62827	178	856	1259	9	12	70	28967
世帯人員(人)	　　　　子供が1～2歳	1	1	2									125198	104468	404	105309	90856	231	1276	1721	21	62	153	52758
世帯人員(人)	　　　　子供が3～5歳	1	3	5									103737	77439	254	85304	66909	156	1381	1319	29	27	97	42090
世帯人員(人)	　　　　子供が6～8歳	1	6	8									71109	53186	224	57881	46269	141	1325	936	26	40	69	25231
世帯人員(人)	　　　　子供が9～11歳	1	9	11									65003	42657	160	53328	37171	115	1413	910	24	50	54	19132
世帯人員(人)	　　　　子供が12～14歳	1	12	14									69329	39371	140	58097	34400	71	1812	1143	9	56	45	16906
世帯人員(人)	　　　　子供が15～17歳	1	15	17									74912	38678	215	62168	33347	139	2375	1607	30	43	22	16109
世帯人員(人)	　　　　子供が18歳以上	1	18	20									503139	349597	2653	369725	277415	1509	75516	365975	1687	1492	1773	100099
世帯人員(人)	　　子供が2人												1361144	808087	2754	1123200	702134	1616	45226	106657	644	1149	1186	331697
世帯人員(人)	　　　最年少の子供が0歳												54016	65155	135	44850	58021	95	405	791	4	29	35	24126
世帯人員(人)	　　　　最年長の子供が0歳	2	0	0									1022	981	0	850	865	0	8	8	0	4	0	544
世帯人員(人)	　　　　最年長の子供が1～2歳	2	0	2									15512	21122	36	12906	18754	24	125	278	4	8	11	7742
